time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-04-23T08:58:22.756Z,43.6833,-127.51,10,3.9,mb,,191,2.51,1.2,us,us70003aks,2019-07-13T18:42:34.040Z,"258km WNW of Bandon, Oregon",earthquake,7.9,2,0.084,44,reviewed,us,us
2019-04-12T14:06:27.097Z,40.3879,-127.0159,10,4.8,mww,,182,2.045,1.04,us,us700034z9,2019-06-20T19:03:25.040Z,"234km W of Ferndale, California",earthquake,7.5,1.6,0.117,7,reviewed,us,us
2019-04-10T14:11:31.833Z,44.0526,-128.8198,10,4.7,mww,,186,3.461,0.7,us,us700033n5,2019-06-20T19:03:12.040Z,"Off the coast of Oregon",earthquake,9.8,1.9,0.05,39,reviewed,us,us
2019-03-30T03:44:51.210Z,40.5617,-127.2253,10,3,ml,,289,2.203,1.04,us,us2000k7hv,2019-06-08T20:51:11.040Z,"250km W of Ferndale, California",earthquake,9.8,2,0.055,44,reviewed,us,us
2019-03-26T22:43:31.240Z,43.5223,-128.5754,10,3.4,ml,,280,3.293,0.57,us,us1000jm2i,2019-06-08T20:51:14.040Z,"Off the coast of Oregon",earthquake,12.9,2,0.046,62,reviewed,us,us
2019-03-17T12:05:15.340Z,43.4168,-127.6289,10,3.1,ml,,274,2.622,0.57,us,us1000jhfg,2019-06-01T21:24:21.040Z,"263km W of Bandon, Oregon",earthquake,11.6,2,0.046,62,reviewed,us,us
2019-03-13T08:22:13.811Z,43.7144,-127.9008,10,3.3,ml,,281,2.792,0.69,us,us1000jk7i,2019-06-01T21:24:27.040Z,"290km WNW of Bandon, Oregon",earthquake,13.2,2,0.057,40,reviewed,us,us
2019-02-28T23:33:08.670Z,43.2634,-127.0925,10,3.2,ml,,240,2.267,0.75,us,us1000j90y,2019-05-14T18:36:14.040Z,"218km W of Bandon, Oregon",earthquake,10,2,0.046,62,reviewed,us,us
2019-02-12T03:52:30.670Z,44.5321,-129.4464,10,4.2,mb,,200,3.962,0.43,us,us2000jgia,2019-05-01T22:00:34.040Z,"Off the coast of Oregon",earthquake,9.8,2,0.076,48,reviewed,us,us
2019-01-29T03:36:16.860Z,44.2018,-129.5546,10,3.2,ml,,281,3.999,0.89,us,us2000j9xx,2019-04-18T19:09:24.040Z,"Off the coast of Oregon",earthquake,14.3,2,0.056,42,reviewed,us,us
2019-01-27T03:40:50.630Z,44.4659,-130.0364,10,4.4,mb,,206,4.37,0.99,us,us2000j9cc,2019-04-12T17:15:36.040Z,"Off the coast of Oregon",earthquake,11,2,0.043,159,reviewed,us,us
2019-01-25T01:40:58.950Z,40.6224,-127.3185,10,3,ml,,267,2.276,1.1,us,us2000j8m6,2019-04-12T17:14:48.040Z,"258km W of Ferndale, California",earthquake,4.8,2,0.052,48,reviewed,us,us
2018-12-21T14:25:58.870Z,40.5841,-127.2075,10,2.7,ml,,255,2.19,1.07,us,us2000iw6b,2019-02-23T20:22:20.040Z,"249km W of Ferndale, California",earthquake,4.5,2,0.058,39,reviewed,us,us
2018-12-19T20:04:39.850Z,40.5419,-127.2212,10,3.2,ml,,285,2.199,0.63,us,us2000iv8r,2019-02-23T20:20:54.040Z,"250km W of Ferndale, California",earthquake,5.1,2,0.066,30,reviewed,us,us
2018-12-16T03:10:35.420Z,40.4853,-127.1473,14.75,3.1,ml,,298,2.192,0.71,us,us2000iuy5,2019-02-16T22:29:10.040Z,"244km W of Ferndale, California",earthquake,6.7,9.1,0.087,8,reviewed,nc,nc
2018-12-04T15:29:29.150Z,43.8986,-127.5266,10,3.2,ml,,274,2.521,0.37,us,us1000i1ya,2019-02-16T19:52:19.040Z,"266km WNW of Bandon, Oregon",earthquake,5.3,2,0.051,50,reviewed,us,us
2018-11-30T15:53:10.330Z,43.9578,-128.8983,10,4.1,mb,,199,3.513,1.21,us,us1000hyb0,2019-02-09T19:02:12.040Z,"Off the coast of Oregon",earthquake,9.9,2,0.112,22,reviewed,us,us
2018-10-28T17:18:51.530Z,40.5487,-127.1259,10,3.2,ml,,284,2.295,0.79,us,us2000i5zi,2019-01-10T17:18:44.040Z,"242km W of Ferndale, California",earthquake,10.2,2,0.053,46,reviewed,us,us
2018-10-27T02:02:29.970Z,40.4386,-127.2484,10,3.1,ml,,271,2.387,0.95,us,us1000hhuw,2019-01-10T17:18:39.040Z,"253km W of Ferndale, California",earthquake,11.7,2,0.051,50,reviewed,us,us
2018-10-24T00:21:21.400Z,43.6948,-127.6956,10,4.5,mb,,169,2.644,0.7,us,us1000hgcv,2019-01-10T17:18:35.040Z,"273km WNW of Bandon, Oregon",earthquake,8.5,1.9,0.081,45,reviewed,us,us
2018-10-22T04:17:20.910Z,43.6333,-127.9833,10,3.2,ml,,250,2.856,0.82,us,us1000hffx,2019-01-10T17:18:33.040Z,"295km WNW of Bandon, Oregon",earthquake,11,2,0.043,72,reviewed,us,us
2018-10-06T06:31:32.170Z,43.8069,-127.8888,10,4.3,mb,,189,2.781,0.92,us,us1000h80u,2018-12-14T20:32:43.040Z,"291km WNW of Bandon, Oregon",earthquake,9.4,2,0.097,30,reviewed,us,us
2018-09-28T06:24:22.930Z,43.5291,-127.5753,10,3.1,ml,,268,2.569,0.69,us,us1000h3lv,2018-12-01T16:42:49.040Z,"260km W of Bandon, Oregon",earthquake,4.8,2,0.048,56,reviewed,us,us
2018-09-08T18:03:42.490Z,43.2636,-127.0032,10,3,ml,,253,2.203,0.54,us,us2000hb4q,2018-11-09T21:54:46.040Z,"211km W of Bandon, Oregon",earthquake,4.8,2,0.044,68,reviewed,us,us
2018-09-06T18:59:39.100Z,43.3415,-127.5282,10,3.1,ml,,286,2.562,0.35,us,us2000h9qt,2018-11-09T21:54:34.040Z,"254km W of Bandon, Oregon",earthquake,10.8,2,0.048,58,reviewed,us,us
2018-09-01T06:19:21.980Z,43.7021,-127.4381,10,3.1,ml,,255,2.457,0.79,us,us2000h6dh,2018-11-07T18:37:08.040Z,"253km WNW of Bandon, Oregon",earthquake,3.4,2,0.047,60,reviewed,us,us
2018-08-31T04:30:46.470Z,43.6,-127.4751,10,3.2,ml,,205,2.49,0.94,us,us2000h5vh,2018-11-07T18:37:07.040Z,"254km WNW of Bandon, Oregon",earthquake,8.6,2,0.041,80,reviewed,us,us
2018-08-29T12:36:03.020Z,40.3547,-127.014,10,2.9,ml,,264,2.047,0.73,us,us1000gjdu,2018-11-07T18:37:04.040Z,"234km W of Ferndale, California",earthquake,3.1,2,0.053,46,reviewed,us,us
2018-08-28T06:53:32.320Z,43.6591,-127.47,10,3.5,ml,,248,2.482,1.06,us,us1000giht,2018-11-07T18:37:03.040Z,"255km WNW of Bandon, Oregon",earthquake,9.1,2,0.045,66,reviewed,us,us
2018-08-26T06:57:15.830Z,43.4494,-128.0385,10,3,ml,,277,2.913,0.81,us,us1000ghi6,2018-11-01T17:51:00.040Z,"296km W of Bandon, Oregon",earthquake,12.6,2,0.05,52,reviewed,us,us
2018-08-24T17:33:36.560Z,43.5999,-127.3526,10,3.9,mb,,193,2.401,1.07,us,us1000ggul,2018-11-01T17:50:57.040Z,"244km WNW of Bandon, Oregon",earthquake,8.7,2,0.182,9,reviewed,us,us
2018-08-23T07:16:23.720Z,43.6254,-127.4857,10,4,mb,,203,2.496,1.08,us,us1000gfxj,2018-11-01T17:50:55.040Z,"255km WNW of Bandon, Oregon",earthquake,8.6,2,0.108,23,reviewed,us,us
2018-08-23T06:37:19.940Z,43.6648,-127.699,10,3.1,ml,,232,2.648,0.61,us,us1000gfx4,2018-11-01T17:50:55.040Z,"273km WNW of Bandon, Oregon",earthquake,10.4,2,0.042,74,reviewed,us,us
2018-08-23T03:32:17.410Z,43.6173,-127.4157,10,3.1,ml,,252,2.445,0.78,us,us1000gfve,2018-11-01T17:50:55.040Z,"249km WNW of Bandon, Oregon",earthquake,10.4,2,0.042,74,reviewed,us,us
2018-08-22T19:31:38.910Z,43.6417,-127.4294,10,3.1,ml,,232,2.454,1.11,us,us1000gfm2,2018-11-01T17:50:55.040Z,"251km WNW of Bandon, Oregon",earthquake,10.2,2,0.047,60,reviewed,us,us
2018-08-22T14:12:34.830Z,43.6503,-127.3463,10,3.8,mb,,202,2.393,0.88,us,us1000gfd6,2018-11-01T17:50:54.040Z,"245km WNW of Bandon, Oregon",earthquake,8.8,2,0.208,6,reviewed,us,us
2018-08-22T13:20:03.450Z,43.6583,-127.5388,10,4.5,mb,,191,2.532,1.11,us,us1000gfby,2018-11-01T17:50:54.040Z,"260km WNW of Bandon, Oregon",earthquake,8,1.9,0.061,78,reviewed,us,us
2018-08-22T11:24:41.550Z,43.6538,-127.4464,10,3.2,ml,,239,2.465,0.66,us,us1000gfa6,2018-11-01T17:50:54.040Z,"253km WNW of Bandon, Oregon",earthquake,9.8,2,0.038,92,reviewed,us,us
2018-08-22T11:10:11.460Z,43.2534,-128.2502,10,3.5,ml,,247,3.096,0.58,us,us1000gf9y,2018-11-01T17:50:54.040Z,"Off the coast of Oregon",earthquake,11.2,2,0.045,66,reviewed,us,us
2018-08-22T09:31:45.530Z,43.5637,-127.7166,10,6.2,mww,,67,2.668,0.73,us,us1000gf8u,2019-08-29T15:45:28.639Z,"272km WNW of Bandon, Oregon",earthquake,7.1,1.8,0.031,97,reviewed,us,us
2018-08-14T11:05:01.050Z,43.5636,-127.3673,10,4.2,mb,,177,2.415,1.05,us,us1000g8sg,2018-10-27T16:22:03.040Z,"244km WNW of Bandon, Oregon",earthquake,4,2,0.103,26,reviewed,us,us
2018-08-08T12:40:09.500Z,43.7045,-127.8148,10,3.2,ml,,229,2.73,0.91,us,us1000g5ay,2018-10-17T18:11:54.040Z,"283km WNW of Bandon, Oregon",earthquake,4.5,2,0.043,70,reviewed,us,us
2018-08-04T14:38:15.900Z,43.847,-128.5593,10,3.2,ml,,272,3.266,0.92,us,us1000g3gl,2018-10-16T15:34:13.040Z,"Off the coast of Oregon",earthquake,5,2,0.055,44,reviewed,us,us
2018-07-29T14:51:09.510Z,44.1002,-128.6437,10,4.4,mb,,200,3.337,0.54,us,us2000ggqu,2018-10-09T16:43:29.040Z,"Off the coast of Oregon",earthquake,6,1.9,0.038,196,reviewed,us,us
2018-07-29T14:48:25.870Z,43.9197,-128.8523,10,3.8,mb,,219,3.479,0.52,us,us2000ggqs,2018-10-09T16:43:29.040Z,"Off the coast of Oregon",earthquake,9.4,1.9,0.147,12,reviewed,us,us
2018-07-29T14:41:06.940Z,44.1653,-128.4972,10,3,ml,,262,3.238,0.48,us,us2000ggqj,2018-10-09T16:43:29.040Z,"Off the coast of Oregon",earthquake,4.4,2,0.05,52,reviewed,us,us
2018-07-29T14:27:09.830Z,44.0373,-128.6396,10,3.2,ml,,276,3.33,0.47,us,us2000ggq5,2018-10-09T16:43:29.040Z,"Off the coast of Oregon",earthquake,5.3,2,0.056,42,reviewed,us,us
2018-07-29T14:10:22.630Z,44.0248,-128.7797,10,5.3,mww,,101,3.43,0.81,us,us2000ggpr,2018-10-09T16:43:29.040Z,"Off the coast of Oregon",earthquake,6.9,1.9,0.038,65,reviewed,us,us
2018-07-24T18:56:36.860Z,42.0187,-127.9909,10,3.1,ml,,292,2.807,1.39,us,us2000gcx4,2018-10-09T16:43:29.040Z,"297km W of Gold Beach, Oregon",earthquake,5.6,2,0.052,48,reviewed,us,us
2018-07-24T16:35:34.710Z,41.6185,-127.0043,10,2.9,ml,,261,2.156,0.7,us,us2000gf7k,2018-10-09T16:43:29.040Z,"231km W of Brookings, Oregon",earthquake,11.3,2,0.055,44,reviewed,us,us
2018-07-20T11:04:04.150Z,43.8606,-128.1734,10,3.9,mb,,185,2.987,1,us,us2000g9ma,2018-10-04T14:15:32.040Z,"Off the coast of Oregon",earthquake,10.1,2,0.094,30,reviewed,us,us
2018-06-10T11:05:41.460Z,40.717,-127.1391,11.24,2.9,ml,,257,2.146,0.73,us,us1000emnz,2018-08-29T16:36:38.040Z,"243km W of Ferndale, California",earthquake,9.4,9.3,0.048,56,reviewed,us,us
2018-05-30T15:41:04.360Z,40.5779,-127.3782,10,4.2,mb,,179,2.489,1.34,us,us1000eetz,2018-08-28T16:28:50.040Z,"263km W of Ferndale, California",earthquake,4.3,1.9,0.088,36,reviewed,us,us
2018-05-24T23:09:16.550Z,43.7117,-127.8257,10,4.4,mwr,,187,2.737,0.79,us,us1000ebn3,2018-08-21T21:23:49.040Z,"284km WNW of Bandon, Oregon",earthquake,7.9,1.9,0.047,43,reviewed,us,us
2018-05-14T08:44:25.750Z,40.6876,-127.0819,10,3.1,ml,,239,2.1,0.79,us,us1000e4k8,2018-08-15T19:46:49.040Z,"238km W of Ferndale, California",earthquake,5.5,2,0.048,58,reviewed,us,us
2018-05-12T17:19:27.070Z,41.4913,-127.006,8.38,3,ml,,244,2.198,0.91,us,us1000e75k,2018-08-08T15:22:16.040Z,"234km WSW of Brookings, Oregon",earthquake,4.1,9.3,0.049,54,reviewed,us,us
2018-04-21T09:50:08.320Z,44.0126,-128.5672,10,4,mb,,193,3.277,0.59,us,us1000dpt3,2018-07-17T02:05:34.040Z,"Off the coast of Oregon",earthquake,8.6,1.9,0.059,76,reviewed,us,us
