time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-03-16T02:56:20.910Z,48.9633,-129.8448,15.95,4.6,mwr,,185,1.113,0.77,us,us1000d53z,2018-06-11T21:53:47.040Z,"260km SW of Port Hardy, Canada",earthquake,6.4,7.1,,,reviewed,us,pgc
2018-03-01T18:35:37.950Z,50.8834,-129.8538,10,4.6,mwr,,166,1.119,0.92,us,us2000d9u5,2018-05-27T01:06:07.040Z,"172km W of Port Hardy, Canada",earthquake,8.9,2,,,reviewed,us,pgc
2018-02-15T23:21:49.690Z,47.688,-128.8475,11.02,3.5,mwr,,203,0.294,1,us,us1000dxky,2018-05-15T06:29:09.040Z,"271km SW of Tofino, Canada",earthquake,5.3,8.2,,,reviewed,us,pgc
2018-02-15T17:39:38.960Z,47.9238,-128.7435,10,3.3,mwr,,155,0.232,0.94,us,us1000dxkp,2018-05-15T06:29:08.040Z,"250km WSW of Tofino, Canada",earthquake,4,2,,,reviewed,us,pgc
2018-02-15T12:06:04.320Z,47.7592,-129.0089,13.4,3.7,mwr,,214,0.178,0.89,us,us2000d707,2018-05-15T06:29:08.040Z,"277km WSW of Tofino, Canada",earthquake,5.4,4.3,,,reviewed,us,pgc
2018-02-15T10:19:28.400Z,47.6801,-129.0374,14.12,3.4,mwr,,244,0.248,0.66,us,us1000dwdu,2018-05-15T06:29:08.040Z,"283km SW of Tofino, Canada",earthquake,4.9,5.9,,,reviewed,us,pgc
2018-02-15T10:12:23.390Z,47.8466,-129.3523,9.68,3.4,mwr,,243,0.181,0.69,us,us1000dwdm,2018-05-15T06:29:08.040Z,"293km WSW of Tofino, Canada",earthquake,4.8,3.8,,,reviewed,us,pgc
2018-01-28T08:51:59.270Z,51.0614,-130.6958,10,4.1,mwr,,217,1.272,1.11,us,us2000dvtn,2018-04-20T07:05:33.040Z,"216km SW of Bella Bella, Canada",earthquake,6.3,2,,,reviewed,us,pgc
2018-01-24T08:15:45.720Z,47.2817,-128.9215,10,2.9,ml,,232,2.977,0.73,us,us2000dvsy,2018-04-20T07:05:16.040Z,"Off the coast of Washington",earthquake,5.1,2,0.105,12,reviewed,us,us
2018-01-15T05:38:44.430Z,50.5724,-130.0456,16.75,4,mwr,,158,1.22,0.93,us,us2000d5t0,2018-04-10T01:11:40.040Z,"186km W of Port Hardy, Canada",earthquake,5.6,6.2,,,reviewed,us,pgc
2018-01-14T21:41:22.970Z,50.4562,-130.2932,10,4.3,mwr,,167,1.39,0.89,us,us1000cg8n,2018-04-03T01:40:31.040Z,"205km W of Port Hardy, Canada",earthquake,7.2,2,,,reviewed,us,pgc
2018-01-14T20:36:07.860Z,50.4516,-130.2249,10,4,mwr,,206,1.347,1.39,us,us2000d0jj,2018-04-03T01:40:31.040Z,"200km W of Port Hardy, Canada",earthquake,6,2,,,reviewed,us,pgc
2018-01-14T20:25:39.180Z,50.6689,-129.757,10,4.4,mwr,,182,1.034,1.16,us,us2000cjjx,2018-04-03T01:40:31.040Z,"165km W of Port Hardy, Canada",earthquake,5.2,2,,,reviewed,us,pgc
2018-01-14T19:10:55.150Z,50.6375,-129.8723,10,4.7,mwr,,167,1.107,1.37,us,us2000cjjd,2018-04-03T01:40:31.040Z,"173km W of Port Hardy, Canada",earthquake,3.8,2,,,reviewed,us,pgc
2018-01-14T18:54:04.660Z,50.6958,-129.8531,10,4.5,mwr,,171,1.095,1.33,us,us2000cjj9,2018-04-03T01:40:31.040Z,"171km W of Port Hardy, Canada",earthquake,4.5,1.8,,,reviewed,us,pgc
2018-01-10T18:40:05.330Z,50.6107,-130.7692,14.69,4,mwr,,180,1.679,1.34,us,us1000c383,2018-04-03T01:40:25.040Z,"237km W of Port Hardy, Canada",earthquake,8.5,5.3,,,reviewed,us,pgc
2017-12-17T04:11:10.260Z,50.2535,-129.7614,10,4.7,mwr,,179,1.11,0.91,us,us2000c5cg,2018-03-14T00:58:20.040Z,"173km WSW of Port Hardy, Canada",earthquake,3.4,1.9,,,reviewed,us,pgc
2017-12-05T22:14:14.060Z,51.3931,-130.8719,10,4.4,mwr,,158,0.923,1.08,us,us1000bmjn,2018-02-28T02:32:27.040Z,"208km WSW of Bella Bella, Canada",earthquake,2.1,2,,,reviewed,us,pgc
2017-12-04T03:51:44.180Z,50.595,-129.9469,10,4.8,mwr,,156,1.156,1.1,us,us1000bks1,2018-02-28T02:32:25.040Z,"179km W of Port Hardy, Canada",earthquake,6.7,1.9,0.078,16,reviewed,us,us
2017-11-21T09:47:09.380Z,49.3777,-129.5926,10,4.9,mwr,,168,1.576,1.46,us,us2000bs8b,2018-02-14T02:01:08.040Z,"214km SW of Port Hardy, Canada",earthquake,5.6,1.9,,,reviewed,us,pgc
